task,target,A,B,mean_diff,ci_low,ci_high,p_raw,p_adj,n_subjects
cookieTheft,PictureNamingScore,baseline,linguistic+acoustic,-0.22550254123680402,-0.29270748482183784,-0.15616501038185257,0.0,0.0,959
cookieTheft,PictureNamingScore,baseline,full,-0.22288793162668802,-0.2907261412786216,-0.1547430671551629,0.0,0.0,959
cookieTheft,PictureNamingScore,demographics,linguistic,-0.18548796856179336,-0.24677591085775163,-0.12288140307979423,0.0,0.0,959
cookieTheft,PictureNamingScore,demographics,linguistic+acoustic,-0.19483532807461987,-0.25643130049570667,-0.13601181265800896,0.0,0.0,959
cookieTheft,PictureNamingScore,demographics,full,-0.1922207184645038,-0.25360389924224636,-0.13407008399880255,0.0,0.0,959
cookieTheft,PictureNamingScore,acoustic,linguistic,-0.10777482383638906,-0.16272662301869223,-0.056934940517037146,0.0,0.0,959
cookieTheft,PictureNamingScore,acoustic,linguistic+acoustic,-0.11712218334921556,-0.1557955868227845,-0.07813187892028398,0.0,0.0,959
cookieTheft,PictureNamingScore,acoustic,full,-0.11450757373909953,-0.15556651490739634,-0.07569142331819452,0.0,0.0,959
cookieTheft,PictureNamingScore,baseline,acoustic,-0.10838035788758847,-0.17430362515747083,-0.042267926575768125,0.002,0.012,959
cookieTheft,PictureNamingScore,demographics,acoustic,-0.07771314472540428,-0.1362019832167618,-0.01993831180097973,0.007,0.035,959
cookieTheft,PictureNamingScore,baseline,demographics,-0.03066721316218419,-0.09209830800101876,0.025786887718587195,0.316,1.0,959
cookieTheft,PictureNamingScore,linguistic,linguistic+acoustic,-0.009347359512826505,-0.02897082910337877,0.010618315050850084,0.358,1.0,959
cookieTheft,PictureNamingScore,linguistic,full,-0.006732749902710458,-0.026367564140149777,0.013181339517068161,0.491,1.0,959
cookieTheft,PictureNamingScore,linguistic+acoustic,full,0.002614609610116046,-0.002539540851514906,0.007766016281452882,0.309,1.0,959
cookieTheft,SemanticFluencyScore,baseline,acoustic,-0.10507268442543637,-0.14311739164574888,-0.06653518127582328,0.0,0.0,970
cookieTheft,SemanticFluencyScore,baseline,linguistic,-0.1329866452774051,-0.1684370880388399,-0.09621769638154884,0.0,0.0,970
cookieTheft,SemanticFluencyScore,baseline,linguistic+acoustic,-0.16028058060368103,-0.19294311772218523,-0.1255523460492009,0.0,0.0,970
cookieTheft,SemanticFluencyScore,baseline,full,-0.16793372122058212,-0.20309712322976467,-0.1328010106543682,0.0,0.0,970
cookieTheft,SemanticFluencyScore,demographics,linguistic,-0.09428365009221903,-0.14782528574608444,-0.04428286286893144,0.0,0.0,970
cookieTheft,SemanticFluencyScore,demographics,linguistic+acoustic,-0.12157758541849494,-0.17288850084826668,-0.0710427728314881,0.0,0.0,970
cookieTheft,SemanticFluencyScore,demographics,full,-0.12923072603539607,-0.17811256483190832,-0.08084694499207187,0.0,0.0,970
cookieTheft,SemanticFluencyScore,acoustic,linguistic+acoustic,-0.055207896178244634,-0.08096660711390055,-0.029602291425095476,0.0,0.0,970
cookieTheft,SemanticFluencyScore,acoustic,full,-0.06286103679514578,-0.0866713646202578,-0.0372642131528128,0.0,0.0,970
cookieTheft,SemanticFluencyScore,linguistic,full,-0.03494707594317704,-0.0587356808568807,-0.012576162599401537,0.001,0.006,970
cookieTheft,SemanticFluencyScore,demographics,acoustic,-0.0663696892402503,-0.11755765509136042,-0.014345706312769711,0.011,0.05499999999999999,970
cookieTheft,SemanticFluencyScore,linguistic,linguistic+acoustic,-0.027293935326275897,-0.049450440817618666,-0.005965580352276872,0.018,0.072,970
cookieTheft,SemanticFluencyScore,linguistic+acoustic,full,-0.007653140616901148,-0.014552078379972634,-0.0008240816892274936,0.021,0.072,970
cookieTheft,SemanticFluencyScore,baseline,demographics,-0.03870299518518607,-0.07994414527598133,0.002529336152198397,0.066,0.132,970
cookieTheft,SemanticFluencyScore,acoustic,linguistic,-0.02791396085196874,-0.06782731093582024,0.013854466738413559,0.176,0.176,970
cookieTheft,PhonemicFluencyScore,baseline,full,-0.048938010671352686,-0.07674239063100526,-0.021476706519585966,0.0,0.0,970
cookieTheft,PhonemicFluencyScore,demographics,full,-0.06806156543013281,-0.11189620766846224,-0.027736364057706266,0.002,0.028,970
cookieTheft,PhonemicFluencyScore,linguistic,full,-0.0322774889239704,-0.05098619092275268,-0.01259515243137235,0.002,0.028,970
cookieTheft,PhonemicFluencyScore,baseline,linguistic+acoustic,-0.04607043113693743,-0.07563356570173954,-0.01830246955325925,0.003,0.036000000000000004,970
cookieTheft,PhonemicFluencyScore,linguistic,linguistic+acoustic,-0.029409909389555147,-0.04900020417031913,-0.009427336331192667,0.003,0.036000000000000004,970
cookieTheft,PhonemicFluencyScore,demographics,linguistic+acoustic,-0.06519398589571757,-0.11005484660088441,-0.02220498422485939,0.006,0.06,970
cookieTheft,PhonemicFluencyScore,demographics,acoustic,-0.05295436415252238,-0.09808536301215057,-0.009400379818881277,0.019,0.17099999999999999,970
cookieTheft,PhonemicFluencyScore,baseline,acoustic,-0.033830809393742264,-0.0656351111575825,-0.0006992248125759497,0.038,0.304,970
cookieTheft,PhonemicFluencyScore,demographics,linguistic,-0.03578407650616241,-0.07862241306289255,0.005935430341711449,0.121,0.847,970
cookieTheft,PhonemicFluencyScore,acoustic,full,-0.015107201277610425,-0.03659555331253803,0.004890821161080311,0.152,0.9119999999999999,970
cookieTheft,PhonemicFluencyScore,baseline,demographics,0.01912355475878012,-0.016308936276982544,0.055713249330337444,0.312,1.0,970
cookieTheft,PhonemicFluencyScore,baseline,linguistic,-0.016660521747382286,-0.044919587340662336,0.010550684379582566,0.261,1.0,970
cookieTheft,PhonemicFluencyScore,acoustic,linguistic,0.017170287646359975,-0.018702980973341412,0.049022097245219755,0.304,1.0,970
cookieTheft,PhonemicFluencyScore,acoustic,linguistic+acoustic,-0.012239621743195171,-0.03472007056682346,0.00806634351750616,0.289,1.0,970
cookieTheft,PhonemicFluencyScore,linguistic+acoustic,full,-0.0028675795344152532,-0.008929266138656411,0.0030160155165988773,0.308,1.0,970
journaling,PictureNamingScore,baseline,linguistic,-0.10243471413109571,-0.15451872635621988,-0.0504127263168608,0.0,0.0,959
journaling,PictureNamingScore,baseline,linguistic+acoustic,-0.1259043293589358,-0.1780470176612126,-0.07142706025778543,0.0,0.0,959
journaling,PictureNamingScore,baseline,full,-0.12692274191305905,-0.17943060061251642,-0.07147348905742344,0.0,0.0,959
journaling,PictureNamingScore,demographics,linguistic+acoustic,-0.09523711619675161,-0.14693565646707274,-0.037855379001168594,0.0,0.0,959
journaling,PictureNamingScore,demographics,full,-0.09625552875087487,-0.14547623182885852,-0.038791938286362314,0.0,0.0,959
journaling,PictureNamingScore,acoustic,linguistic+acoustic,-0.08334047205215751,-0.12298093399366013,-0.04571155640328246,0.001,0.01,959
journaling,PictureNamingScore,acoustic,full,-0.08435888460628076,-0.12335590942029893,-0.04521973072309345,0.001,0.01,959
journaling,PictureNamingScore,demographics,linguistic,-0.07176750096891152,-0.12494981002734332,-0.013474765150673761,0.015,0.12,959
