feature,r_PictureNamingScore,r2_PictureNamingScore,p_PictureNamingScore,r_SemanticFluencyScore,r2_SemanticFluencyScore,p_SemanticFluencyScore,r_PhonemicFluencyScore,r2_PhonemicFluencyScore,p_PhonemicFluencyScore
determiner_noun_ratio,0.08849912047254808,0.00783209432441458,0.16138616772917586,0.0089359158849223,7.985059270240669e-05,1.0,-0.012306183896632444,0.00015144216209773568,1.0
aux_verb_ratio,0.014947290838364026,0.00022342150340664115,1.0,-0.023089566611596942,0.0005331280863113723,1.0,-0.040598783219583316,0.00164826119891072,1.0
content_density,0.022419276609336868,0.0005026239636859592,1.0,-0.004420898268472705,1.9544341500184964e-05,1.0,-0.0014082208682439706,1.9830860137578024e-06,1.0
information_words_ratio,-0.01739782543099747,0.00030268432972746224,1.0,0.04191796117703865,0.0017571154692397196,1.0,0.02581341300612182,0.0006663322910246191,1.0
phonation_rate,0.2540663454162083,0.06454970787314808,3.672855179260072e-14,0.29816574397879864,0.08890281088243049,7.857372822282883e-20,0.17187131871639358,0.029539750197312142,3.3918301214051936e-06
total_speech_duration,0.14205687321917973,0.020180155228810105,0.00032346754999626487,0.09383047868384961,0.008804158730040356,0.11155676885374803,0.01484801821273649,0.0002204636448457545,1.0
speech_rate_phonemes,0.20252584309515195,0.041016717121402105,8.16530825951026e-09,0.30698316505179113,0.09423866362521524,4.398562970628161e-21,0.1987337045063023,0.039495085306798274,1.944000439775099e-08
n_pauses,-0.10445586379901074,0.010911027481997482,0.03489628636698137,-0.1714400434269286,0.02939168849022716,3.196958371529222e-06,-0.11008211284702797,0.012118071568865801,0.02780035572892478
total_pause_duration,-0.15944563393833533,0.025422910181997632,2.4118054318945543e-05,-0.23045180871112303,0.05310803613822804,1.4568747763635284e-11,-0.15935054254585246,0.025392595409657534,2.8229784568251424e-05
avg_pause_duration,-0.0711571408152047,0.005063338688994871,0.6108067276863087,-0.06487873255635572,0.004209249938119132,1.0,-0.06647950423104143,0.004419524482805056,1.0
pause_word_ratio,-0.2570084676305385,0.06605335243379754,1.683977318125474e-14,-0.27862039993417825,0.07762932725948143,3.370606482376792e-17,-0.16894327639994758,0.028541830640749083,5.59425289543492e-06
pause_rate,-0.21917738525449526,0.04803872620699744,2.1212446725347685e-10,-0.24631147359023642,0.060669342022193734,2.761124868247047e-13,-0.11417879109617797,0.01303679633618465,0.017421763221648554
eGeMAPS_F0semitoneFrom27.5Hz_sma3nz_percentile20.0,0.05298713373105396,0.0028076363410325963,1.0,0.09120875407709687,0.008319036820296336,0.13659473842081707,-0.0021657190466459766,4.690338989005157e-06,1.0
eGeMAPS_F0semitoneFrom27.5Hz_sma3nz_percentile50.0,0.05099794388031093,0.002600790280019343,1.0,0.08901247389135986,0.00792322050826002,0.16414761468784753,-0.007880987344328138,6.210996152146028e-05,1.0
eGeMAPS_loudness_sma3_amean,0.15416979887001014,0.023768326883619382,5.455981311043236e-05,0.15207838360786258,0.023127834760780206,7.787896306948015e-05,0.056556049784688006,0.003198586767248108,1.0
eGeMAPS_loudness_sma3_percentile20.0,0.02043922635383389,0.00041776197394325786,1.0,0.09175291360653913,0.008418597155289033,0.13344718172828182,0.08054233677200574,0.006487068012695188,0.548044714786761
eGeMAPS_mfcc3_sma3_amean,0.0940403169664746,0.00884358121515501,0.0995663836105918,0.056318318821350986,0.003171753034863337,1.0,-0.014077524511289753,0.0001981766963659638,1.0
eGeMAPS_jitterLocal_sma3nz_amean,0.0008141921506139671,6.629088581213969e-07,1.0,-0.009526380488892972,9.07519252191607e-05,1.0,-0.005808138826844126,3.3734476631894264e-05,1.0
eGeMAPS_shimmerLocaldB_sma3nz_amean,-0.048217879834016535,0.002324963935687658,1.0,-0.017392950507328822,0.0003025147273503899,1.0,0.02485873114331904,0.00061795651405582,1.0
eGeMAPS_logRelF0-H1-A3_sma3nz_amean,-0.02662870445408741,0.0007090879009031346,1.0,0.03223629196888498,0.0010391785199031982,1.0,0.017447487422353025,0.000304414817353167,1.0
eGeMAPS_F3amplitudeLogRelF0_sma3nz_stddevNorm,-0.17023544993688555,0.028980108415213868,4.124565529712964e-06,-0.1925157650518363,0.03706231979349383,6.040367485264558e-08,-0.11476417240004523,0.013170815266667303,0.016547147831067806
eGeMAPS_slopeV0-500_sma3nz_amean,0.005115835197524249,2.6171769768227967e-05,1.0,0.055380411096403494,0.0030669899332066513,1.0,-0.04407094543863522,0.0019422482318551624,1.0
eGeMAPS_mfcc3V_sma3nz_amean,0.03576176526519885,0.001278903854883183,1.0,0.018424729873848404,0.0003394706709242818,1.0,-0.026085047678448707,0.0006804297123869423,1.0
eGeMAPS_slopeUV0-500_sma3nz_amean,0.01982757068303224,0.0003931325591906396,1.0,-0.009873606027038713,9.748809597717521e-05,1.0,-0.005839105531413806,3.4095153406987307e-05,1.0
