target,task,model,fold,r2,rmse,mae,estimator
PictureNamingScore,journaling,baseline,2,-5.471159883074783e-05,2.9082826823860617,2.052118267059065,DummyRegressor
PictureNamingScore,journaling,baseline,3,-0.003243731608226552,2.7491829511546944,1.8535172506376691,DummyRegressor
PictureNamingScore,journaling,baseline,4,-0.007976229567639326,2.9341290672464644,1.9892913407214252,DummyRegressor
SemanticFluencyScore,picnicScene,demographics,0,0.0007874551838716881,5.495940402725424,4.3672550371847825,RandomForestRegressor
SemanticFluencyScore,picnicScene,demographics,1,0.018523934220215588,5.690183722921667,4.500394493460104,RandomForestRegressor
SemanticFluencyScore,picnicScene,demographics,2,0.07647949415542821,5.297124328391454,4.1837302032139325,RandomForestRegressor
SemanticFluencyScore,picnicScene,demographics,3,-0.002253819691571346,5.747854665817881,4.323739223972069,RandomForestRegressor
SemanticFluencyScore,picnicScene,demographics,4,0.04455720553904363,5.645926524539595,4.491180934114877,RandomForestRegressor
SemanticFluencyScore,picnicScene,acoustic,0,0.094913023470798,5.2306809856537315,4.123498463787387,RandomForestRegressor
SemanticFluencyScore,picnicScene,acoustic,1,0.08551055256396389,5.492572289161829,4.415418561298775,RandomForestRegressor
SemanticFluencyScore,picnicScene,acoustic,2,0.15690572916307322,5.061217067721913,4.012037482653363,RandomForestRegressor
SemanticFluencyScore,picnicScene,acoustic,3,0.04233313127269844,5.618548704531087,4.299362527905913,RandomForestRegressor
SemanticFluencyScore,picnicScene,acoustic,4,0.1447681905505398,5.341642271288978,4.272509516550905,RandomForestRegressor
SemanticFluencyScore,picnicScene,linguistic,0,0.13806447243889197,5.104467778509424,3.9498192710788493,RandomForestRegressor
SemanticFluencyScore,picnicScene,linguistic,1,0.15652562123719205,5.274998978049298,4.11662736973802,RandomForestRegressor
SemanticFluencyScore,picnicScene,linguistic,2,0.12553902366568104,5.154506736984124,4.170520185782268,RandomForestRegressor
SemanticFluencyScore,picnicScene,linguistic,3,0.07474858215476099,5.522640813356258,4.303956700096567,RandomForestRegressor
SemanticFluencyScore,picnicScene,linguistic,4,0.20108864302440344,5.162762830823821,4.149756946175702,RandomForestRegressor
SemanticFluencyScore,picnicScene,linguistic+acoustic,0,0.1562306270555005,5.05039044194624,3.9200423409852077,RandomForestRegressor
SemanticFluencyScore,picnicScene,linguistic+acoustic,1,0.1936778343192278,5.157517753795326,4.115553400527736,RandomForestRegressor
SemanticFluencyScore,picnicScene,linguistic+acoustic,2,0.18265485214424848,4.9833299061649665,4.008154485977609,RandomForestRegressor
SemanticFluencyScore,picnicScene,linguistic+acoustic,3,0.10031100067592147,5.445818006842056,4.216476223619946,RandomForestRegressor
SemanticFluencyScore,picnicScene,linguistic+acoustic,4,0.2522346949251216,4.9947704380205975,4.030258713198683,RandomForestRegressor
SemanticFluencyScore,picnicScene,full,0,0.17141248205946247,5.00474862663768,3.8967830848746954,RandomForestRegressor
SemanticFluencyScore,picnicScene,full,1,0.19587893261951728,5.150473446972949,4.113666615471571,RandomForestRegressor
SemanticFluencyScore,picnicScene,full,2,0.19450729349136198,4.947065961536273,3.9980998204628864,RandomForestRegressor
SemanticFluencyScore,picnicScene,full,3,0.11233190626199219,5.409314389912369,4.192164527952314,RandomForestRegressor
SemanticFluencyScore,picnicScene,full,4,0.25289828145001203,4.992553701033246,3.9977307763251444,RandomForestRegressor
SemanticFluencyScore,picnicScene,baseline,0,-0.027096591726020636,5.5720976629863745,4.429611248966088,DummyRegressor
SemanticFluencyScore,picnicScene,baseline,1,-0.002292638118240653,5.750209959441962,4.533648320776402,DummyRegressor
SemanticFluencyScore,picnicScene,baseline,2,-0.003145937083263828,5.520761097680676,4.447126713796059,DummyRegressor
SemanticFluencyScore,picnicScene,baseline,3,-0.027911227852634335,5.820961453557616,4.5323119758866826,DummyRegressor
SemanticFluencyScore,picnicScene,baseline,4,-0.00027802640066387774,5.776878606433531,4.682157154673283,DummyRegressor
SemanticFluencyScore,cookieTheft,demographics,0,0.0007874551838716881,5.495940402725424,4.3672550371847825,RandomForestRegressor
SemanticFluencyScore,cookieTheft,demographics,1,0.018523934220215588,5.690183722921667,4.500394493460104,RandomForestRegressor
SemanticFluencyScore,cookieTheft,demographics,2,0.07647949415542821,5.297124328391454,4.1837302032139325,RandomForestRegressor
SemanticFluencyScore,cookieTheft,demographics,3,-0.002253819691571346,5.747854665817881,4.323739223972069,RandomForestRegressor
SemanticFluencyScore,cookieTheft,demographics,4,0.04455720553904363,5.645926524539595,4.491180934114877,RandomForestRegressor
SemanticFluencyScore,cookieTheft,acoustic,0,0.09576976591423236,5.228204755456188,4.158833996715809,RandomForestRegressor
SemanticFluencyScore,cookieTheft,acoustic,1,0.052731628319103496,5.590143426626546,4.406495834897655,RandomForestRegressor
SemanticFluencyScore,cookieTheft,acoustic,2,0.14310261878673458,5.102479900752249,4.09350488750233,RandomForestRegressor
SemanticFluencyScore,cookieTheft,acoustic,3,0.05669749870972096,5.576252249803113,4.306180945997807,RandomForestRegressor
SemanticFluencyScore,cookieTheft,acoustic,4,0.12509447680432817,5.402732388533583,4.281543507385931,RandomForestRegressor
SemanticFluencyScore,cookieTheft,linguistic,0,0.11593946221376261,5.169565928303089,4.0001034453612005,RandomForestRegressor
SemanticFluencyScore,cookieTheft,linguistic,1,0.1285245090390178,5.3618421095382685,4.078937763936342,RandomForestRegressor
SemanticFluencyScore,cookieTheft,linguistic,2,0.10802097763618268,5.205880745618988,4.161978119716696,RandomForestRegressor
SemanticFluencyScore,cookieTheft,linguistic,3,0.09990419062144706,5.447049078436703,4.220173205196931,RandomForestRegressor
SemanticFluencyScore,cookieTheft,linguistic,4,0.15537723442766216,5.308407679000394,4.211033330795578,RandomForestRegressor
SemanticFluencyScore,cookieTheft,linguistic+acoustic,0,0.13528551861756177,5.11268977696645,3.9784156879655677,RandomForestRegressor
SemanticFluencyScore,cookieTheft,linguistic+acoustic,1,0.155972305794432,5.276728882333091,4.1119461589307,RandomForestRegressor
SemanticFluencyScore,cookieTheft,linguistic+acoustic,2,0.1826659898317181,4.983295952968891,4.008063071994672,RandomForestRegressor
SemanticFluencyScore,cookieTheft,linguistic+acoustic,3,0.09107195093034826,5.473708573153593,4.194065864813907,RandomForestRegressor
SemanticFluencyScore,cookieTheft,linguistic+acoustic,4,0.18480756280855737,5.215103695114821,4.115913860543057,RandomForestRegressor
SemanticFluencyScore,cookieTheft,full,0,0.15888186761020318,5.042449685208384,3.917248145200636,RandomForestRegressor
SemanticFluencyScore,cookieTheft,full,1,0.14814517373605118,5.301139421397429,4.145711946513173,RandomForestRegressor
SemanticFluencyScore,cookieTheft,full,2,0.18551971026257286,4.974588760984795,4.023405977289295,RandomForestRegressor
SemanticFluencyScore,cookieTheft,full,3,0.10411111542960838,5.434304788222111,4.143014324235768,RandomForestRegressor
SemanticFluencyScore,cookieTheft,full,4,0.1923852418416112,5.190808420814969,4.092829464042303,RandomForestRegressor
SemanticFluencyScore,cookieTheft,baseline,0,-0.027096591726020636,5.5720976629863745,4.429611248966088,DummyRegressor
SemanticFluencyScore,cookieTheft,baseline,1,-0.002292638118240653,5.750209959441962,4.533648320776402,DummyRegressor
SemanticFluencyScore,cookieTheft,baseline,2,-0.003145937083263828,5.520761097680676,4.447126713796059,DummyRegressor
SemanticFluencyScore,cookieTheft,baseline,3,-0.027911227852634335,5.820961453557616,4.5323119758866826,DummyRegressor
SemanticFluencyScore,cookieTheft,baseline,4,-0.00027802640066387774,5.776878606433531,4.682157154673283,DummyRegressor
SemanticFluencyScore,journaling,demographics,0,0.0007874551838716881,5.495940402725424,4.3672550371847825,RandomForestRegressor
SemanticFluencyScore,journaling,demographics,1,0.018523934220215588,5.690183722921667,4.500394493460104,RandomForestRegressor
SemanticFluencyScore,journaling,demographics,2,0.07647949415542821,5.297124328391454,4.1837302032139325,RandomForestRegressor
SemanticFluencyScore,journaling,demographics,3,-0.002253819691571346,5.747854665817881,4.323739223972069,RandomForestRegressor
SemanticFluencyScore,journaling,demographics,4,0.04455720553904363,5.645926524539595,4.491180934114877,RandomForestRegressor
SemanticFluencyScore,journaling,acoustic,0,0.1441940956754597,5.08628527606286,3.9664254193467543,RandomForestRegressor
SemanticFluencyScore,journaling,acoustic,1,0.04797510119282633,5.604160770838326,4.463961708516675,RandomForestRegressor
SemanticFluencyScore,journaling,acoustic,2,0.15208732960273752,5.075659237734854,4.051474859680664,RandomForestRegressor
SemanticFluencyScore,journaling,acoustic,3,0.029160680558246277,5.657057551688275,4.303895357675302,RandomForestRegressor
SemanticFluencyScore,journaling,acoustic,4,0.09393509692724178,5.498098692309901,4.409646838086812,RandomForestRegressor
SemanticFluencyScore,journaling,linguistic,0,0.014624127770252904,5.457755019357923,4.236435680275529,RandomForestRegressor
SemanticFluencyScore,journaling,linguistic,1,0.09301098822076237,5.4700014957925776,4.294304141297251,RandomForestRegressor
SemanticFluencyScore,journaling,linguistic,2,0.10188451116838848,5.223757263181803,4.240678821749568,RandomForestRegressor
SemanticFluencyScore,journaling,linguistic,3,0.03372046699453246,5.6437570326275335,4.3145031825563915,RandomForestRegressor
SemanticFluencyScore,journaling,linguistic,4,0.12253893529188942,5.410617148067542,4.342683618174073,RandomForestRegressor
SemanticFluencyScore,journaling,linguistic+acoustic,0,0.14188376871439023,5.093146096908779,3.96816789592821,RandomForestRegressor
SemanticFluencyScore,journaling,linguistic+acoustic,1,0.16323333583410327,5.2539824447166446,4.177805004413604,RandomForestRegressor
SemanticFluencyScore,journaling,linguistic+acoustic,2,0.18352902795132875,4.980664280830072,3.965937743507728,RandomForestRegressor
SemanticFluencyScore,journaling,linguistic+acoustic,3,0.08491579249797598,5.492213972048262,4.137090357788551,RandomForestRegressor
SemanticFluencyScore,journaling,linguistic+acoustic,4,0.17975658600758937,5.231235279120466,4.190699492201384,RandomForestRegressor
SemanticFluencyScore,journaling,full,0,0.1453996602444917,5.082701515846733,3.9664666984994295,RandomForestRegressor
SemanticFluencyScore,journaling,full,1,0.1645521618974819,5.2498404170370305,4.16032884846016,RandomForestRegressor
SemanticFluencyScore,journaling,full,2,0.19976195159310461,4.930903385568217,3.9349415630260016,RandomForestRegressor
SemanticFluencyScore,journaling,full,3,0.10109741436493891,5.4434374052646355,4.093419231400533,RandomForestRegressor
SemanticFluencyScore,journaling,full,4,0.19633838073110288,5.178088767943966,4.130501869841241,RandomForestRegressor
SemanticFluencyScore,journaling,baseline,0,-0.027096591726020636,5.5720976629863745,4.429611248966088,DummyRegressor
SemanticFluencyScore,journaling,baseline,1,-0.002292638118240653,5.750209959441962,4.533648320776402,DummyRegressor
SemanticFluencyScore,journaling,baseline,2,-0.003145937083263828,5.520761097680676,4.447126713796059,DummyRegressor
SemanticFluencyScore,journaling,baseline,3,-0.027911227852634335,5.820961453557616,4.5323119758866826,DummyRegressor
SemanticFluencyScore,journaling,baseline,4,-0.00027802640066387774,5.776878606433531,4.682157154673283,DummyRegressor
PhonemicFluencyScore,picnicScene,demographics,0,-0.031995777227207034,4.787828115141771,3.8180873065136356,RandomForestRegressor
