Subject_ID,PhonemicFluencyScore,PictureNamingScore,SemanticFluencyScore
628,6.0,20.0,16.0
629,4.0,15.0,13.0
631,22.0,18.0,28.0
632,14.0,,19.0
633,17.0,20.0,5.0
636,7.0,18.0,5.0
637,15.0,19.0,22.0
638,21.0,18.0,26.0
640,10.0,20.0,13.0
641,10.0,18.0,15.0
643,8.0,19.0,24.0
644,16.0,20.0,24.0
645,14.0,18.0,22.0
646,16.0,17.0,22.0
647,8.0,17.0,11.0
648,13.0,19.0,15.0
649,21.0,15.0,17.0
650,15.0,17.0,16.0
651,14.0,17.0,12.0
652,7.0,15.0,15.0
653,14.0,16.0,17.0
655,16.0,20.0,20.0
656,19.0,18.0,20.0
657,19.0,19.0,25.0
659,17.0,20.0,37.0
660,12.0,17.0,21.0
661,13.0,13.0,20.0
662,10.0,18.0,17.0
663,9.0,18.0,19.0
664,16.0,20.0,28.0
665,18.0,17.0,16.0
666,20.0,19.0,29.0
667,24.0,20.0,23.0
668,10.0,19.0,19.0
669,16.0,19.0,23.0
670,11.0,18.0,26.0
671,14.0,18.0,17.0
672,9.0,19.0,26.0
673,14.0,19.0,22.0
674,20.0,17.0,27.0
675,16.0,17.0,20.0
676,16.0,18.0,27.0
677,16.0,18.0,23.0
678,12.0,20.0,11.0
679,18.0,18.0,16.0
680,14.0,19.0,22.0
681,21.0,19.0,33.0
682,16.0,18.0,24.0
683,17.0,18.0,21.0
684,18.0,16.0,26.0
688,9.0,14.0,22.0
689,13.0,20.0,35.0
690,13.0,18.0,13.0
691,13.0,19.0,18.0
692,17.0,19.0,25.0
693,13.0,16.0,26.0
694,22.0,19.0,19.0
696,16.0,15.0,16.0
697,14.0,20.0,21.0
698,8.0,18.0,18.0
701,18.0,18.0,26.0
702,14.0,18.0,19.0
703,16.0,15.0,24.0
704,15.0,20.0,17.0
705,15.0,14.0,17.0
706,11.0,17.0,22.0
707,17.0,18.0,29.0
708,14.0,20.0,21.0
709,18.0,17.0,25.0
710,14.0,19.0,18.0
712,13.0,19.0,14.0
713,24.0,20.0,22.0
714,12.0,17.0,21.0
717,21.0,16.0,25.0
719,16.0,19.0,23.0
720,14.0,19.0,18.0
721,19.0,16.0,23.0
722,16.0,18.0,24.0
723,11.0,20.0,18.0
724,20.0,18.0,27.0
725,12.0,19.0,17.0
727,8.0,19.0,15.0
728,6.0,19.0,24.0
729,16.0,18.0,28.0
732,4.0,14.0,17.0
733,10.0,19.0,16.0
734,9.0,19.0,19.0
735,17.0,15.0,19.0
737,8.0,15.0,19.0
738,17.0,15.0,19.0
739,15.0,19.0,32.0
741,9.0,19.0,13.0
742,19.0,20.0,17.0
743,16.0,16.0,9.0
744,16.0,20.0,31.0
745,14.0,14.0,15.0
747,20.0,19.0,14.0
748,19.0,20.0,24.0
749,12.0,20.0,28.0
750,4.0,,14.0
753,14.0,19.0,21.0
754,17.0,15.0,18.0
755,4.0,,15.0
756,18.0,,16.0
757,11.0,19.0,20.0
758,12.0,14.0,17.0
760,16.0,18.0,18.0
761,23.0,19.0,25.0
762,10.0,19.0,21.0
763,23.0,16.0,26.0
764,11.0,20.0,17.0
765,16.0,18.0,23.0
766,20.0,19.0,31.0
767,13.0,17.0,18.0
768,14.0,20.0,24.0
769,15.0,19.0,27.0
770,12.0,19.0,19.0
771,12.0,16.0,16.0
772,18.0,17.0,23.0
773,9.0,17.0,15.0
774,9.0,11.0,13.0
775,19.0,17.0,22.0
776,11.0,18.0,20.0
777,16.0,19.0,13.0
778,13.0,17.0,17.0
779,12.0,20.0,21.0
780,17.0,20.0,18.0
781,12.0,20.0,17.0
782,7.0,14.0,26.0
783,16.0,18.0,23.0
784,10.0,17.0,13.0
786,20.0,18.0,20.0
787,19.0,18.0,26.0
788,21.0,18.0,15.0
789,11.0,18.0,28.0
790,16.0,20.0,26.0
791,19.0,19.0,19.0
793,17.0,20.0,24.0
794,19.0,14.0,25.0
796,10.0,19.0,19.0
797,16.0,16.0,1.0
799,15.0,17.0,17.0
800,21.0,20.0,22.0
801,22.0,20.0,27.0
802,11.0,,16.0
803,15.0,18.0,26.0
805,19.0,19.0,22.0
807,11.0,20.0,22.0
808,14.0,17.0,19.0
809,6.0,18.0,15.0
811,39.0,20.0,29.0
812,13.0,19.0,21.0
814,10.0,13.0,16.0
816,9.0,13.0,12.0
819,20.0,18.0,26.0
820,18.0,18.0,17.0
821,2.0,17.0,11.0
822,22.0,18.0,24.0
823,18.0,17.0,17.0
824,16.0,20.0,25.0
826,12.0,16.0,24.0
827,12.0,17.0,23.0
828,11.0,20.0,24.0
829,11.0,20.0,23.0
830,12.0,17.0,22.0
831,22.0,13.0,21.0
833,26.0,18.0,24.0
834,14.0,17.0,20.0
835,16.0,19.0,17.0
836,19.0,17.0,25.0
838,10.0,19.0,28.0
839,23.0,20.0,33.0
840,11.0,19.0,21.0
841,19.0,20.0,28.0
842,10.0,20.0,20.0
843,17.0,17.0,15.0
844,10.0,20.0,14.0
845,17.0,18.0,32.0
847,23.0,19.0,31.0
848,13.0,17.0,15.0
849,11.0,14.0,26.0
851,12.0,16.0,21.0
852,11.0,15.0,18.0
853,12.0,20.0,20.0
854,16.0,19.0,23.0
855,23.0,20.0,18.0
856,12.0,19.0,15.0
857,17.0,19.0,20.0
858,17.0,15.0,18.0
859,18.0,18.0,25.0
862,19.0,19.0,19.0
863,22.0,16.0,31.0
864,9.0,19.0,23.0
866,7.0,18.0,22.0
867,18.0,,21.0
868,12.0,18.0,18.0
871,15.0,19.0,15.0
872,16.0,17.0,15.0
873,20.0,17.0,21.0
874,21.0,19.0,29.0
875,12.0,18.0,20.0
876,14.0,17.0,26.0
877,15.0,18.0,20.0
883,11.0,20.0,21.0
884,19.0,20.0,23.0
885,10.0,12.0,14.0
887,19.0,18.0,26.0
888,17.0,16.0,18.0
889,15.0,18.0,18.0
890,13.0,18.0,14.0
891,10.0,19.0,26.0
892,18.0,19.0,19.0
893,8.0,15.0,12.0
894,16.0,19.0,19.0
895,15.0,20.0,24.0
897,23.0,20.0,16.0
898,16.0,17.0,23.0
899,15.0,18.0,16.0
901,23.0,20.0,23.0
902,19.0,18.0,33.0
903,11.0,15.0,21.0
904,17.0,18.0,28.0
906,14.0,19.0,24.0
908,11.0,19.0,20.0
909,14.0,17.0,27.0
910,10.0,17.0,14.0
911,18.0,18.0,23.0
912,16.0,18.0,17.0
913,13.0,17.0,16.0
914,17.0,17.0,10.0
916,11.0,16.0,26.0
917,21.0,15.0,28.0
918,13.0,18.0,23.0
919,14.0,17.0,18.0
920,24.0,17.0,23.0
921,12.0,18.0,15.0
922,10.0,,11.0
923,16.0,19.0,6.0
924,12.0,17.0,20.0
927,13.0,19.0,22.0
928,9.0,18.0,22.0
929,12.0,19.0,11.0
931,24.0,19.0,26.0
932,16.0,15.0,20.0
933,18.0,18.0,36.0
934,15.0,20.0,23.0
935,14.0,18.0,18.0
936,17.0,19.0,27.0
938,26.0,18.0,23.0
941,23.0,17.0,23.0
