task,target,A,B,mean_diff,ci_low,ci_high,p_raw,p_adj,n_subjects
cookieTheft,PhonemicFluencyScore,acoustic,full,0.008487443611868348,-0.039579635453513964,0.05371653903567734,0.765,1.0,970
cookieTheft,PhonemicFluencyScore,linguistic,linguistic+acoustic,-0.010889820292117474,-0.04795648460298322,0.03633867703659679,0.583,1.0,970
cookieTheft,PhonemicFluencyScore,linguistic,full,-0.006726435663008465,-0.04519416259817879,0.04194393057264087,0.73,1.0,970
cookieTheft,PhonemicFluencyScore,linguistic+acoustic,full,0.004163384629109007,-0.005424820266472085,0.01445649834699817,0.416,1.0,970
journaling,PictureNamingScore,demographics,linguistic,-0.10126932558087406,-0.15819467574434706,-0.03903677193632619,0.0,0.0,959
journaling,PictureNamingScore,demographics,linguistic+acoustic,-0.12149913347325654,-0.19281490603560777,-0.04545438926369665,0.0,0.0,959
journaling,PictureNamingScore,baseline,linguistic,-0.10342547852527044,-0.16409330677286885,-0.03760375488661546,0.001,0.013000000000000001,959
journaling,PictureNamingScore,baseline,linguistic+acoustic,-0.1236552864176529,-0.20089854768460325,-0.043022303254917495,0.002,0.024,959
journaling,PictureNamingScore,demographics,full,-0.1189645031917651,-0.1899515487289653,-0.04441893682983018,0.002,0.024,959
journaling,PictureNamingScore,baseline,full,-0.12112065613616148,-0.20069173664865123,-0.04059111722047726,0.003,0.03,959
journaling,PictureNamingScore,acoustic,linguistic+acoustic,-0.07199325096896453,-0.12001542777871248,-0.015986841157739552,0.007,0.063,959
journaling,PictureNamingScore,acoustic,full,-0.0694586206874731,-0.12054428588866233,-0.012393221919432523,0.013,0.104,959
journaling,PictureNamingScore,baseline,acoustic,-0.051662035448688366,-0.10990121037422766,0.0006892585729504935,0.061,0.427,959
journaling,PictureNamingScore,demographics,acoustic,-0.049505882504292,-0.10639546168278072,0.0024459727538374766,0.065,0.427,959
journaling,PictureNamingScore,acoustic,linguistic,-0.05176344307658207,-0.10914085473655936,0.004871125049855848,0.08,0.427,959
journaling,PictureNamingScore,baseline,demographics,-0.0021561529443963677,-0.01674711849268602,0.014298799205492088,0.787,1.0,959
journaling,PictureNamingScore,linguistic,linguistic+acoustic,-0.02022980789238247,-0.060752284804530564,0.019820412359427414,0.307,1.0,959
journaling,PictureNamingScore,linguistic,full,-0.017695177610891025,-0.05735705000138059,0.02512633491301598,0.389,1.0,959
journaling,PictureNamingScore,linguistic+acoustic,full,0.0025346302814914425,-0.008871544561980593,0.013887950248187345,0.653,1.0,959
journaling,SemanticFluencyScore,baseline,demographics,-0.0893576381689053,-0.12420696352367702,-0.05507507527430351,0.0,0.0,970
journaling,SemanticFluencyScore,baseline,acoustic,-0.12102938306064094,-0.16387154189834466,-0.07768365507613606,0.0,0.0,970
journaling,SemanticFluencyScore,baseline,linguistic+acoustic,-0.14510264705063805,-0.20166140661695417,-0.09196159176289415,0.0,0.0,970
journaling,SemanticFluencyScore,baseline,full,-0.18829700480634232,-0.245295037966158,-0.13429214271402468,0.0,0.0,970
journaling,SemanticFluencyScore,demographics,full,-0.09893936663743702,-0.1493717106365853,-0.04896052601618418,0.0,0.0,970
journaling,SemanticFluencyScore,linguistic,linguistic+acoustic,-0.08122490778800781,-0.1190023926081867,-0.0409218048245557,0.0,0.0,970
journaling,SemanticFluencyScore,linguistic,full,-0.1244192655437121,-0.1679223529120785,-0.07956388106137012,0.0,0.0,970
journaling,SemanticFluencyScore,linguistic+acoustic,full,-0.043194357755704293,-0.06853663769776491,-0.018720013965880813,0.0,0.0,970
journaling,SemanticFluencyScore,acoustic,full,-0.06726762174570138,-0.11298298785767767,-0.02399929949126104,0.003,0.021,970
journaling,SemanticFluencyScore,baseline,linguistic,-0.06387773926263021,-0.11084472125372352,-0.01874409235242915,0.009,0.05399999999999999,970
journaling,SemanticFluencyScore,demographics,linguistic+acoustic,-0.05574500888173273,-0.11426629584052235,0.0008619828357872953,0.058,0.24,970
journaling,SemanticFluencyScore,acoustic,linguistic,0.05715164379801072,-8.12943276560446e-05,0.11242660913286326,0.048,0.24,970
journaling,SemanticFluencyScore,demographics,acoustic,-0.031671744891735645,-0.08183071382355041,0.020014619804872343,0.225,0.675,970
journaling,SemanticFluencyScore,demographics,linguistic,0.025479898906275084,-0.027631208671577225,0.07958579530763982,0.365,0.675,970
journaling,SemanticFluencyScore,acoustic,linguistic+acoustic,-0.024073263989997082,-0.0653191098978473,0.019734786711774595,0.257,0.675,970
journaling,PhonemicFluencyScore,acoustic,linguistic,0.06881214263122291,0.02623646635811362,0.10756272763465387,0.002,0.03,970
journaling,PhonemicFluencyScore,baseline,acoustic,-0.0407780229635246,-0.07149617918392191,-0.011127483715209267,0.008,0.112,970
journaling,PhonemicFluencyScore,linguistic,full,-0.0399336457242455,-0.07228369149942243,-0.007225446551579432,0.014,0.182,970
journaling,PhonemicFluencyScore,demographics,linguistic,0.04427055105859107,0.007087638976971682,0.08308842202017204,0.022,0.264,970
journaling,PhonemicFluencyScore,linguistic,linguistic+acoustic,-0.037251741890597476,-0.06765437337687565,-0.0039275933207517785,0.022,0.264,970
journaling,PhonemicFluencyScore,baseline,demographics,-0.01623643139089277,-0.032924919039168846,0.0021719143918148827,0.061,0.61,970
journaling,PhonemicFluencyScore,acoustic,linguistic+acoustic,0.03156040074062544,-0.0036116819113610173,0.06825040406816646,0.089,0.8009999999999999,970
journaling,PhonemicFluencyScore,baseline,linguistic,0.028034119667698306,-0.006067555316976971,0.06430001697111412,0.117,0.936,970
journaling,PhonemicFluencyScore,demographics,acoustic,-0.02454159157263183,-0.05446485573304004,0.005748481193203365,0.122,0.936,970
journaling,PhonemicFluencyScore,acoustic,full,0.028878496906977403,-0.006968092914562013,0.06553316405727518,0.117,0.936,970
journaling,PhonemicFluencyScore,baseline,linguistic+acoustic,-0.009217622222899161,-0.054800987367549764,0.03728335190891584,0.725,1.0,970
journaling,PhonemicFluencyScore,baseline,full,-0.011899526056547195,-0.058092997493747134,0.03344569920252435,0.629,1.0,970
journaling,PhonemicFluencyScore,demographics,linguistic+acoustic,0.007018809167993608,-0.03652357281903466,0.05487545015106669,0.753,1.0,970
journaling,PhonemicFluencyScore,demographics,full,0.004336905334345573,-0.03971728608677438,0.04993922178124258,0.847,1.0,970
journaling,PhonemicFluencyScore,linguistic+acoustic,full,-0.002681903833648035,-0.013024054656647232,0.008290223951300673,0.555,1.0,970
